OID,PID
0,127
0,647
0,647
0,527
0,527
0,39
0,617
0,617
0,617
1,193
2,286
2,286
2,876
2,876
2,876
2,109
3,930
3,930
3,930
3,157
3,975
3,975
3,673
3,673
3,725
3,725
4,16
4,399
4,29
4,29
4,165
4,165
4,165
4,106
4,106
5,210
5,210
5,210
5,18
5,18
5,530
6,358
6,358
6,358
6,891
6,891
6,929
6,929
6,929
7,998
7,998
7,998
7,212
7,212
7,212
7,884
7,884
7,207
7,207
7,207
8,904
9,245
9,245
9,595
9,595
9,1003
9,1003
9,738
10,496
10,496
10,496
10,626
10,626
10,626
10,768
10,768
10,768
10,198
10,198
10,198
10,550
10,550
11,52
12,935
12,791
12,791
12,791
12,267
12,267
12,267
13,177
13,177
13,177
14,350
15,759
15,759
15,643
15,643
15,643
15,400
15,400
15,95
15,95
16,326
16,326
16,189
16,189
17,894
17,894
17,894
17,284
17,284
17,284
17,503
17,420
17,514
17,514
17,514
18,59
18,152
18,152
18,293
18,293
18,293
18,351
18,351
18,618
18,618
18,618
19,639
19,909
19,909
19,909
19,993
19,993
19,993
20,557
20,557
20,371
20,892
20,354
20,354
20,354
21,591
21,1005
21,1005
21,466
21,848
21,848
21,848
22,78
22,78
22,483
23,657
23,657
23,261
23,261
23,261
23,578
23,578
23,273
23,273
23,939
24,636
24,635
24,635
24,635
24,971
24,971
24,753
24,753
24,899
25,157
25,157
25,157
25,749
25,749
25,749
26,358
26,973
26,973
26,155
26,984
26,984
26,984
26,718
27,473
27,259
27,259
27,259
27,703
27,703
27,703
28,551
28,1005
28,633
29,2
29,323
29,323
29,547
29,547
29,547
29,213
30,429
30,429
30,853
30,853
30,853
31,470
31,470
31,470
32,714
32,714
32,587
32,587
32,587
32,671
32,671
32,453
32,453
32,453
33,686
33,686
33,686
33,604
33,71
33,71
34,622
34,622
35,178
35,302
35,302
35,302
35,922
36,940
36,940
36,940
37,991
38,317
38,145
38,145
38,145
38,90
38,90
38,912
38,926
38,926
38,926
39,210
39,210
39,725
39,663
39,663
39,663
40,879
40,879
40,31
40,31
40,31
41,447
41,447
42,469
42,469
42,469
43,642
43,642
44,469
44,469
44,469
45,732
45,732
45,159
45,304
45,166
46,391
46,391
46,420
46,471
46,471
46,471
47,859
47,859
47,966
47,966
47,770
47,770
47,770
48,14
48,289
48,289
48,366
48,271
48,271
48,271
49,935
49,935
49,935
49,411
50,849
50,849
50,849
51,23
51,92
51,797
51,797
52,925
52,925
52,925
52,50
52,50
53,739
53,739
53,736
53,106
53,106
53,605
53,605
53,605
54,440
54,440
54,273
54,273
54,362
54,362
54,362
54,980
54,980
54,980
55,269
55,269
55,269
55,878
55,878
55,878
55,283
55,625
55,625
56,320
56,977
56,803
56,845
56,845
56,762
56,762
56,762
57,566
57,566
57,145
57,145
57,35
58,700
59,655
59,655
59,655
60,216
60,216
61,205
61,205
61,75
61,75
61,75
61,990
61,990
61,698
61,302
61,302
62,394
62,394
62,746
62,292
62,292
62,1004
62,1004
63,419
63,419
63,419
63,579
63,579
63,824
63,824
63,886
63,886
63,886
63,47
64,149
64,149
64,709
64,709
65,735
65,735
65,735
65,198
65,920
65,920
66,644
66,270
66,270
66,270
67,909
67,909
67,836
68,851
68,851
68,851
68,582
68,582
68,96
68,96
68,96
68,551
68,551
68,124
68,124
69,242
69,242
69,159
69,205
70,391
70,391
70,391
70,337
70,337
70,806
70,833
70,35
70,35
71,42
71,42
71,881
71,881
71,906
71,906
71,906
72,945
72,945
72,931
72,931
72,931
73,128
73,128
73,971
73,971
73,971
73,710
74,1017
74,1017
74,1017
74,1000
74,1000
74,1000
74,528
74,528
74,528
74,311
74,311
74,556
74,556
75,900
75,900
75,882
75,882
75,882
76,108
76,764
76,764
76,247
76,247
76,247
77,117
77,117
77,117
77,933
78,371
78,371
78,371
78,30
78,596
78,596
78,771
78,771
78,771
78,874
78,874
79,388
79,388
79,388
80,712
80,585
80,585
80,548
80,548
80,705
80,705
80,705
80,26
81,370
81,370
81,301
81,301
81,301
81,699
81,699
81,699
82,657
82,657
82,273
82,273
83,820
83,820
83,820
83,303
83,303
83,422
83,422
83,483
83,304
83,304
84,479
84,479
84,31
84,31
84,724
84,724
84,471
84,677
85,98
85,98
85,786
85,786
85,208
85,208
85,208
86,871
86,871
86,871
86,118
86,118
87,358
87,194
87,194
87,194
87,173
87,173
87,173
87,621
